city,lat,lng,STATE,population,id
Winchester,39.1735,-78.1746,VA,74031,1840001623
Harrisonburg,38.4362,-78.8735,VA,74023,1840003844
Dale City,38.6473,-77.3459,VA,73279,1840006094
Reston,38.9497,-77.3461,VA,60352,1840006025
Staunton,38.1593,-79.0611,VA,58470,1840001670
Leesburg,39.1058,-77.5544,VA,54215,1840005872
Ashburn,39.03,-77.4711,VA,49895,1840024495
Tuckahoe,37.5878,-77.5858,VA,48691,1840006395
McLean,38.9436,-77.1943,VA,47305,1840006018
Danville,36.5831,-79.4088,VA,47135,1840003878
Lake Ridge,38.6843,-77.3059,VA,44552,1840006099
Burke,38.7773,-77.2633,VA,42710,1840006014
Manassas,38.7479,-77.4838,VA,41501,1840003839
Linton Hall,38.7551,-77.575,VA,40832,1840006100
Mechanicsville,37.6262,-77.3561,VA,37674,1840006340
Oakton,38.8887,-77.3016,VA,37166,1840006023
Martinsville,36.6827,-79.8636,VA,33363,1840001727
Petersburg,37.2043,-77.3913,VA,31750,1840003861
Springfield,38.7809,-77.1839,VA,30556,1840006039
South Riding,38.912,-77.5132,VA,30426,1840024507
